date,new_cases,total_cases,new_deaths,total_deaths,new cases (7 day average),new cases (14 day average),cumulative cases (14 day average),S,C,LCG
2020-03-01,0.0,0.0,0.0,0.0,0.25,0.14285714285714285,0.7142857142857143,,,
2020-03-02,0.0,0.0,0.0,0.0,0.2,0.125,0.75,0.99991926803014,1.375111015421051,
2020-03-03,1.0,1.0,0.0,0.0,0.16666666666666666,0.1111111111111111,0.7777777777777778,0.9999133465451717,1.2223281411785891,
2020-03-04,0.0,1.0,0.0,0.0,0.14285714285714285,0.1,0.8,0.9999107794630545,1.1000981513477561,
2020-03-05,0.0,1.0,0.0,0.0,0.14285714285714285,0.09090909090909091,0.8181818181818182,0.9999097210380075,1.0000902871130193,
2020-03-06,0.0,1.0,0.0,0.0,0.14285714285714285,0.08333333333333333,0.8333333333333334,0.9999120137962367,0.9167473277838485,
2020-03-07,0.0,1.0,0.0,0.0,0.0,0.07692307692307693,0.8461538461538461,0.9999158314737422,0.8462250716710112,
2020-03-08,0.0,1.0,0.0,0.0,0.0,0.14285714285714285,0.9285714285714286,0.9999057696641578,1.571576661625198,
2020-03-09,0.0,1.0,0.0,0.0,0.0,0.14285714285714285,1.0714285714285714,0.9998731818894515,1.5716278823070908,
2020-03-10,0.0,1.0,0.0,0.0,0.0,0.35714285714285715,1.4285714285714286,0.9998285327705051,3.9292451653539384,
2020-03-11,0.0,1.0,0.0,0.0,0.14285714285714285,0.9285714285714286,2.357142857142857,0.9997197214200783,10.217149362399857,
2020-03-12,0.0,1.0,0.0,0.0,0.14285714285714285,0.9285714285714286,3.2857142857142856,0.9996036837051344,10.218335407113956,
2020-03-13,0.0,1.0,0.0,0.0,0.5714285714285714,3.7142857142857144,7.0,0.9991379310344828,40.892394921730556,
2020-03-14,1.0,2.0,0.0,0.0,1.8571428571428572,5.285714285714286,12.285714285714286,0.998304674689295,58.2415955940035,
2020-03-15,0.0,2.0,0.0,0.0,1.8571428571428572,5.285714285714286,17.571428571428573,0.9972845502348172,58.301171044078664,
2020-03-16,3.0,5.0,0.0,0.0,7.428571428571429,6.214285714285714,23.785714285714285,0.9961161569144706,68.6236664094308,3.9101030002797166
2020-03-17,9.0,14.0,0.0,0.0,10.571428571428571,8.0,31.785714285714285,0.9946865210227064,88.47008393108723,4.2819071075186965
2020-03-18,0.0,14.0,0.0,0.0,10.428571428571429,9.428571428571429,41.214285714285715,0.9929602928127772,104.44958017454286,4.5533050642811945
2020-03-19,39.0,53.0,0.0,0.0,12.285714285714286,11.642857142857142,52.857142857142854,0.9908716764042927,129.25127604431918,4.861668102985742
2020-03-20,22.0,75.0,0.0,0.0,15.428571428571429,13.357142857142858,66.21428571428571,0.9884647755399394,148.6432041529382,5.088472218212914
2020-03-21,0.0,75.0,0.0,0.0,17.0,15.928571428571429,82.14285714285714,0.9855590310281057,177.78162463947737,5.347525881849141
2020-03-22,13.0,88.0,0.0,0.0,21.428571428571427,18.928571428571427,101.07142857142857,0.9821497380661852,211.99851473182852,4.904499910146673
2020-03-23,25.0,113.0,0.0,0.0,19.285714285714285,21.857142857142858,122.92857142857143,0.9782301206537289,245.77915395602264,5.0523214346732015
2020-03-24,20.0,133.0,0.0,0.0,21.285714285714285,23.5,146.42857142857142,0.9739151356991322,265.42353694342563,4.212879465207552
2020-03-25,31.0,164.0,0.0,0.0,27.428571428571427,25.428571428571427,171.85714285714286,0.9692187808934531,288.5976739497735,3.3409659680252433
2020-03-26,24.0,188.0,0.0,0.0,31.428571428571427,25.857142857142858,197.71428571428572,0.9644480147962019,294.91332561732133,3.362497806208495
2020-03-27,36.0,224.0,3.0,3.0,31.571428571428573,24.071428571428573,221.78571428571428,0.9600431914908552,275.80604355365244,1.9087537754062942
2020-03-28,43.0,267.0,0.0,3.0,33.857142857142854,25.214285714285715,247.0,0.9552882320996594,290.33869939707154,1.6064483700492893
2020-03-29,41.0,308.0,1.0,4.0,30.285714285714285,26.0,273.0,0.9504667964239765,300.9047776061642,1.6411716815565933
2020-03-30,26.0,334.0,2.0,6.0,28.857142857142858,27.0,300.0,0.9456163480553724,314.08086441268733,1.5210130161027005
2020-03-31,36.0,370.0,2.0,8.0,29.142857142857142,27.714285714285715,327.7142857142857,0.9405443231538793,324.1284172923196,1.2984753267438984
2020-04-01,6.0,376.0,4.0,12.0,24.571428571428573,28.071428571428573,355.7857142857143,0.9354471958509764,330.09422194569936,1.150673666151869
2020-04-02,14.0,390.0,2.0,14.0,22.571428571428573,27.214285714285715,383.0,0.9304900181488204,321.71988631614147,0.9119228626499476
2020-04-03,38.0,428.0,1.0,15.0,23.857142857142858,26.857142857142858,409.85714285714283,0.9256684983194802,319.1515882466693,0.7641173568812656
2020-04-04,11.0,439.0,1.0,16.0,22.285714285714285,25.642857142857142,435.5,0.9206949640764163,306.36794983926626,0.5442308607883621
2020-04-05,27.0,466.0,1.0,17.0,24.142857142857142,23.857142857142858,459.35714285714283,0.9162299014998827,286.4221861772594,0.30088762912336975
2020-04-06,35.0,501.0,1.0,18.0,24.857142857142858,22.428571428571427,481.7857142857143,0.9126206846194975,270.33606609206896,0.09523248967589648
2020-04-07,25.0,526.0,3.0,21.0,22.142857142857142,21.714285714285715,503.5,0.9084303286819655,262.93391503528824,-0.009424075783271313
2020-04-08,19.0,545.0,1.0,22.0,23.142857142857142,19.714285714285715,523.2142857142857,0.904909423496784,239.6451371001924,-0.1858743528099911
2020-04-09,19.0,564.0,1.0,23.0,22.285714285714285,20.214285714285715,543.4285714285714,0.9013464544466475,246.6944222836621,-0.1785310877305708
2020-04-10,19.0,583.0,2.0,25.0,19.571428571428573,20.214285714285715,563.6428571428571,0.8974126540269797,247.77580509852933,-0.10717355233099646
2020-04-11,18.0,601.0,1.0,26.0,17.142857142857142,18.142857142857142,581.7857142857143,0.8941122661712357,223.2062304950055,-0.2629520259157898
2020-04-12,21.0,622.0,2.0,28.0,16.285714285714285,18.357142857142858,600.1428571428571,0.8907675652165692,226.69052995825825,-0.2832080780424846
2020-04-13,16.0,638.0,1.0,29.0,15.571428571428571,17.0,617.1428571428571,0.8878218747344268,210.62783574231838,-0.39955771824880504
2020-04-14,8.0,646.0,0.0,29.0,14.142857142857142,15.142857142857142,632.2857142857143,0.885634418200397,188.08147599988328,-0.5442645350094288
2020-04-15,13.0,659.0,2.0,31.0,13.571428571428571,13.642857142857142,645.9285714285714,0.8835668870327364,169.8472755983536,-0.6644784803217911
2020-04-16,14.0,673.0,2.0,33.0,11.714285714285714,12.285714285714286,658.2142857142857,0.8817244324546337,153.27108126813815,-0.7414731220245301
2020-04-17,9.0,682.0,0.0,33.0,10.714285714285714,11.357142857142858,669.5714285714286,0.8803384881758913,141.9097007645663,-0.810475242963344
2020-04-18,14.0,696.0,2.0,35.0,10.142857142857142,10.071428571428571,679.6428571428571,0.8786568724972582,126.08529877066428,-0.8878281777649182
2020-04-19,8.0,704.0,0.0,35.0,8.285714285714286,9.285714285714286,688.9285714285714,0.8772301539729083,116.4379230242599,-0.9001086163750989
2020-04-20,9.0,713.0,1.0,36.0,7.142857142857143,7.928571428571429,696.8571428571429,0.8766822945394374,99.48220268336034,-0.9996871135828691
2020-04-21,4.0,717.0,0.0,36.0,6.0,7.285714285714286,704.1428571428571,0.8759438236182422,91.49314714248771,-1.0556386521140606
2020-04-22,0.0,717.0,1.0,37.0,5.0,6.928571428571429,711.0714285714286,0.8753003473210728,87.07215294446722,-1.012422114597209
2020-04-23,6.0,723.0,0.0,37.0,4.142857142857143,6.0,717.0714285714286,0.8747712112930334,75.44829910719493,-1.1847027723226118
2020-04-24,1.0,724.0,0.0,37.0,3.857142857142857,5.0,722.0714285714286,0.8743746921474439,62.90209505597798,-1.370944854722591
2020-04-25,7.0,731.0,3.0,40.0,3.7142857142857144,4.5,726.5714285714286,0.8735317786840036,56.666513122823,-1.370912705740463
2020-04-26,2.0,733.0,0.0,40.0,3.7142857142857144,3.5714285714285716,730.1428571428571,0.8731369721750236,44.99375875454202,-1.6170619973803246
2020-04-27,7.0,740.0,0.0,40.0,2.857142857142857,3.0714285714285716,733.2142857142857,0.8732957797053311,38.68759596790255,-1.6945737334472808
2020-04-28,3.0,743.0,0.0,40.0,3.0,2.5,735.7142857142857,0.8734462822471829,31.48447770508407,-1.7873805988120193
2020-04-29,0.0,743.0,1.0,41.0,2.142857142857143,2.357142857142857,738.0714285714286,0.8733517554904343,29.688577672819967,-1.744137272738775
2020-04-30,0.0,743.0,1.0,42.0,2.0,2.4285714285714284,740.5,0.8732375735317003,30.592231168252553,-1.6114620333144902
2020-05-01,2.0,745.0,0.0,42.0,1.1428571428571428,2.0,742.5,0.8726792311649442,25.209721068567294,-1.7279612683944086
2020-05-02,1.0,746.0,1.0,43.0,1.0,2.0,744.5,0.8726974553481215,25.20919462429753,-1.6097498582645438
2020-05-03,1.0,747.0,1.0,44.0,1.1428571428571428,1.5,746.0,0.8727830832196453,18.90504103165299,-1.8179296736605126
2020-05-04,1.0,748.0,1.0,45.0,1.1428571428571428,1.5,747.5,0.8739479695236927,18.87984247963023,-1.6618839432193053
2020-05-05,2.0,750.0,0.0,45.0,1.0,1.0714285714285714,748.5714285714286,0.8741858312815409,13.481932403819261,-1.914913626250014
2020-05-06,1.0,751.0,1.0,46.0,0.8571428571428571,0.9285714285714286,749.5,0.8745282157423754,11.679766907937834,-2.00887909843922
2020-05-07,0.0,751.0,0.0,46.0,1.0,1.0714285714285714,750.5714285714286,0.8746445543888722,13.474861561276336,-1.7226217986523258
2020-05-08,1.0,752.0,1.0,47.0,1.0,1.2142857142857142,751.7857142857143,0.8747631018726851,15.269440181630893,-1.4157260136402385
2020-05-09,0.0,752.0,0.0,47.0,0.8571428571428571,1.1428571428571428,752.9285714285714,0.874420574270465,14.376867312296486,-1.3715629605482555
2020-05-10,2.0,754.0,1.0,48.0,1.0,1.0714285714285714,754.0,0.8742533127141514,13.480891767084191,-1.2052505276836283
2020-05-11,1.0,755.0,0.0,48.0,1.2857142857142858,1.0,755.0,0.8746585369534705,12.57633640473479,-1.123702045964282
2020-05-12,1.0,756.0,0.0,48.0,1.2857142857142858,0.9285714285714286,755.9285714285714,0.8748500303164521,11.67547049245799,-0.9920045512299107
2020-05-13,2.0,758.0,0.0,48.0,1.2857142857142858,0.7857142857142857,756.7142857142857,0.8748103903916807,9.879691916996387,-1.1002810529108085
2020-05-14,2.0,760.0,1.0,49.0,1.0,0.7142857142857143,757.4285714285714,0.8746488590471319,8.983196829071108,-1.2253902800422587
2020-05-15,1.0,761.0,0.0,49.0,0.8571428571428571,0.7857142857142857,758.2142857142857,0.8744980567163665,9.883220524594435,-0.9363912541487518
2020-05-16,0.0,761.0,0.0,49.0,0.7142857142857143,0.7142857142857143,758.9285714285714,0.8743817162117716,8.985941393175118,-1.0315475054015901
2020-05-17,0.0,761.0,2.0,51.0,0.42857142857142855,0.7142857142857143,759.6428571428571,0.874644512690388,8.983241469124927,-0.7440678251901147
2020-05-18,0.0,761.0,0.0,51.0,0.2857142857142857,0.5714285714285714,760.2142857142857,0.8751178706899861,7.182705891674133,-0.9664186402426482
2020-05-19,0.0,761.0,0.0,51.0,0.14285714285714285,0.5714285714285714,760.7857142857143,0.8754610643757481,7.179890164728623,-0.6300663630575294
2020-05-20,0.0,761.0,0.0,51.0,0.14285714285714285,0.5,761.2857142857143,0.8750258501777001,6.285528591964525,-0.6196080784496687
2020-05-21,1.0,762.0,0.0,51.0,0.14285714285714285,0.35714285714285715,761.6428571428571,0.8752167613146746,4.488683949185651,-1.0992662912922748
2020-05-22,0.0,762.0,0.0,51.0,0.2857142857142857,0.21428571428571427,761.8571428571429,0.8748405183633237,2.6943686393866013,-1.7346895514220577
2020-05-23,0.0,762.0,0.0,51.0,0.2857142857142857,0.14285714285714285,762.0,0.8747440936057024,1.7964437632852481,-2.07981145463871
2020-05-24,0.0,762.0,0.0,51.0,0.2857142857142857,0.21428571428571427,762.2142857142857,0.8747294614842799,2.6947107202073113,-1.6099823989652613
2020-05-25,1.0,763.0,0.0,51.0,0.14285714285714285,0.21428571428571427,762.4285714285714,0.8749558031054974,2.6940136276330815,-1.5407848485814157
2020-05-26,0.0,763.0,0.0,51.0,0.14285714285714285,0.21428571428571427,762.6428571428571,0.8751737727498821,2.6933426600942147,-1.4667070551176766
2020-05-27,0.0,763.0,0.0,51.0,0.2857142857142857,0.2857142857142857,762.9285714285714,0.875321800512334,3.5905162433034334,-1.0121853362583686
2020-05-28,0.0,763.0,0.0,51.0,0.2857142857142857,0.35714285714285715,763.2857142857143,0.8754133597883598,4.487675890074606,-0.6940208646857209
2020-05-29,0.0,763.0,0.0,51.0,0.14285714285714285,0.7857142857142857,764.0714285714286,0.8753572434891117,9.873519876761776,-0.0009820090171914764
2020-05-30,1.0,764.0,0.0,51.0,0.2857142857142857,0.8571428571428571,764.9285714285714,0.875213716861969,10.77287895164287,0.1813704789651207
2020-05-31,0.0,764.0,0.0,51.0,0.42857142857142855,0.8571428571428571,765.7857142857143,0.8752533415700197,10.772391238928106,0.18162571171623698
2020-06-01,0.0,764.0,0.0,51.0,1.4285714285714286,0.8571428571428571,766.6428571428571,0.8793638305046645,10.722036887917481,0.4006249685946641
2020-06-02,1.0,765.0,0.0,51.0,1.5714285714285714,0.7857142857142857,767.4285714285714,0.8799426247160695,9.822068962332546,0.3133477032516414
2020-06-03,1.0,766.0,0.0,51.0,1.4285714285714286,0.7857142857142857,768.2142857142857,0.881321875978075,9.806697619147892,0.4448156405304238
2020-06-04,7.0,773.0,0.0,51.0,1.4285714285714286,0.7857142857142857,769.0,0.8817038891297355,9.802448701216306,0.781072670231616
2020-06-05,1.0,774.0,0.0,51.0,1.4285714285714286,0.7857142857142857,769.7857142857143,0.8832451863889299,9.785343046354662,1.2897217528087697
2020-06-06,0.0,774.0,0.0,51.0,1.2857142857142858,0.7857142857142857,770.5714285714286,0.8848893786424342,9.767161129356877,1.6932168300583081
2020-06-07,0.0,774.0,0.0,51.0,1.1428571428571428,0.7857142857142857,771.3571428571429,0.8821799520741422,9.797158870518924,1.2908015733136509
2020-06-08,0.0,774.0,0.0,51.0,0.14285714285714285,0.7857142857142857,772.1428571428571,0.8825638240086909,9.792897587395371,1.2906252504603564
2020-06-09,0.0,774.0,0.0,51.0,0.0,0.7857142857142857,772.9285714285714,0.8830539148068239,9.787462574975216,1.2903191907871232
2020-06-10,0.0,774.0,0.0,51.0,0.14285714285714285,0.7142857142857143,773.6428571428571,0.8831098369791299,8.897129811190792,0.9074327390763941
2020-06-11,0.0,774.0,0.0,51.0,0.14285714285714285,0.7142857142857143,774.3571428571429,0.8832296689135994,8.895922695630677,0.6842580990746807
2020-06-12,0.0,774.0,0.0,51.0,0.14285714285714285,0.21428571428571427,774.5714285714286,0.8836535160273418,2.6674967217240417,-1.3087159384320453
2020-06-13,1.0,775.0,0.0,51.0,0.14285714285714285,0.21428571428571427,774.7857142857143,0.8851658938364141,2.662939086962242,-1.397601334847538
2020-06-14,0.0,775.0,0.0,51.0,0.2857142857142857,0.21428571428571427,775.0,0.8842938190504628,2.6655652299751575,-1.3965703653510038
2020-06-15,0.0,775.0,0.0,51.0,0.2857142857142857,0.21428571428571427,775.2142857142857,0.88258695605137,2.6707202513943136,-1.3899529526838594
2020-06-16,0.0,775.0,0.0,51.0,0.42857142857142855,0.21428571428571427,775.4285714285714,0.8820216837616801,2.672431869350449,-1.3016429184382532
2020-06-17,1.0,776.0,1.0,52.0,0.2857142857142857,0.21428571428571427,775.6428571428571,0.8823876346965782,2.671323536796155,-1.3004915265141073
2020-06-18,0.0,776.0,0.0,52.0,0.2857142857142857,0.21428571428571427,775.8571428571429,0.8825962806401088,2.670692035358821,-1.3002945938345123
2020-06-19,1.0,777.0,0.0,52.0,0.2857142857142857,0.21428571428571427,776.0714285714286,0.8828153342628491,2.670029354566062,-1.2987961920531572
2020-06-20,0.0,777.0,0.0,52.0,0.2857142857142857,0.21428571428571427,776.2857142857143,0.8847323489539443,2.6642440054665175,-1.2991055115252932
2020-06-21,0.0,777.0,0.0,52.0,0.14285714285714285,0.14285714285714285,776.4285714285714,0.8855883630629441,1.7744458226546056,-1.708604270882693
2020-06-22,0.0,777.0,0.0,52.0,0.14285714285714285,0.14285714285714285,776.5714285714286,0.8861180414040033,1.7733851450972975,-1.7087671555296247
2020-06-23,0.0,777.0,0.0,52.0,0.0,0.14285714285714285,776.7142857142857,0.8850101998242669,1.7756050401911798,-1.7069610049937702
2020-06-24,0.0,777.0,0.0,52.0,0.0,0.14285714285714285,776.8571428571429,0.8833627438554758,1.7789165123378443,-1.609724253564801
2020-06-25,0.0,777.0,0.0,52.0,0.0,0.07142857142857142,776.9285714285714,0.887441696817808,0.8853700344841843,-2.307342650980734
2020-06-26,0.0,777.0,0.0,52.0,0.0,0.07142857142857142,777.0,0.8902020734041597,0.8826246412903651,-1.1059957387815693
2020-06-27,0.0,777.0,0.0,52.0,0.0,0.0,777.0,0.8943510506798517,0.0,-inf
2020-06-28,0.0,777.0,0.0,52.0,0.0,0.0,777.0,,,
2020-06-29,0.0,777.0,0.0,52.0,0.0,0.0,777.0,,,
